"P(i,k)",Value
"Row(_1=62, _2=70)",-3762030
"Row(_1=62, _2=71)",-7112429
"Row(_1=62, _2=72)",-3226534
"Row(_1=62, _2=73)",7765788
"Row(_1=62, _2=74)",2849627
"Row(_1=62, _2=75)",-5487606
"Row(_1=62, _2=76)",1797091
"Row(_1=62, _2=77)",1241423
"Row(_1=62, _2=78)",-3979345
"Row(_1=62, _2=79)",-2015828
"Row(_1=62, _2=80)",12423318
"Row(_1=62, _2=81)",-715831
"Row(_1=62, _2=82)",720792
"Row(_1=62, _2=83)",4418837
"Row(_1=62, _2=84)",858508
"Row(_1=62, _2=85)",3379503
"Row(_1=62, _2=86)",9795413
"Row(_1=62, _2=87)",7106796
"Row(_1=62, _2=88)",11698112
"Row(_1=62, _2=89)",-1027839
"Row(_1=62, _2=90)",-5066031
"Row(_1=62, _2=91)",6301510
"Row(_1=62, _2=92)",5428549
"Row(_1=62, _2=93)",-4171616
"Row(_1=62, _2=94)",5593276
"Row(_1=62, _2=95)",-4545050
"Row(_1=62, _2=96)",-6528653
"Row(_1=62, _2=97)",-7404440
"Row(_1=62, _2=98)",4238117
"Row(_1=62, _2=99)",5190595
"Row(_1=62, _2=100)",3784680
"Row(_1=62, _2=101)",4576860
"Row(_1=62, _2=102)",-5102285
"Row(_1=62, _2=103)",-5340692
"Row(_1=62, _2=104)",-1648144
"Row(_1=62, _2=105)",6487703
"Row(_1=62, _2=106)",-143249
"Row(_1=62, _2=107)",8434360
"Row(_1=62, _2=108)",1472738
"Row(_1=62, _2=109)",-1362405
"Row(_1=62, _2=110)",8457536
"Row(_1=62, _2=111)",3263490
"Row(_1=62, _2=112)",1266857
"Row(_1=62, _2=113)",12148653
"Row(_1=62, _2=114)",675369
"Row(_1=62, _2=115)",-2667925
"Row(_1=62, _2=116)",381814
"Row(_1=62, _2=117)",6779511
"Row(_1=62, _2=118)",-5586916
"Row(_1=62, _2=119)",-5113458
"Row(_1=62, _2=120)",-1442148
"Row(_1=62, _2=121)",606264
"Row(_1=62, _2=122)",-8751875
"Row(_1=62, _2=123)",-566995
"Row(_1=62, _2=124)",1281179
"Row(_1=62, _2=125)",-6242483
"Row(_1=62, _2=126)",-7478149
"Row(_1=62, _2=127)",4595075
"Row(_1=63, _2=0)",-5795082
"Row(_1=63, _2=1)",238129
"Row(_1=63, _2=2)",3803400
"Row(_1=63, _2=3)",2055307
"Row(_1=63, _2=4)",6493900
"Row(_1=63, _2=5)",-1680867
"Row(_1=63, _2=6)",-3772030
"Row(_1=63, _2=7)",4065526
"Row(_1=63, _2=8)",-1833235
"Row(_1=63, _2=9)",2896467
"Row(_1=63, _2=10)",1579051
"Row(_1=63, _2=11)",-7772988
"Row(_1=63, _2=12)",1886992
"Row(_1=63, _2=13)",-1680574
"Row(_1=63, _2=14)",-1302446
"Row(_1=63, _2=15)",-3197907
"Row(_1=63, _2=16)",4573848
"Row(_1=63, _2=17)",-9615265
"Row(_1=63, _2=18)",819193
"Row(_1=63, _2=19)",-4813814
"Row(_1=63, _2=20)",-5509954
"Row(_1=63, _2=21)",4715848
"Row(_1=63, _2=22)",-7011967
"Row(_1=63, _2=23)",-7648703
"Row(_1=63, _2=24)",2292760
"Row(_1=63, _2=25)",2454039
"Row(_1=63, _2=26)",4883741
"Row(_1=63, _2=27)",667597
"Row(_1=63, _2=28)",-3213643
"Row(_1=63, _2=29)",-6342186
"Row(_1=63, _2=30)",2997010
"Row(_1=63, _2=31)",-723730
"Row(_1=63, _2=32)",3092836
"Row(_1=63, _2=33)",3850409
"Row(_1=63, _2=34)",912939
"Row(_1=63, _2=35)",-5464220
"Row(_1=63, _2=36)",-5384690
"Row(_1=63, _2=37)",-3133850
"Row(_1=63, _2=38)",5142243
"Row(_1=63, _2=39)",4670827
"Row(_1=63, _2=40)",-7448262
"Row(_1=63, _2=41)",3853087
"Row(_1=63, _2=42)",3554192
"Row(_1=63, _2=43)",925861
"Row(_1=63, _2=44)",-831800
"Row(_1=63, _2=45)",-3799511
"Row(_1=63, _2=46)",6242922
"Row(_1=63, _2=47)",-1452419
"Row(_1=63, _2=48)",-3318549
"Row(_1=63, _2=49)",3154886
"Row(_1=63, _2=50)",-1368845
"Row(_1=63, _2=51)",3553842
"Row(_1=63, _2=52)",5828731
"Row(_1=63, _2=53)",4878175
"Row(_1=63, _2=54)",743336
"Row(_1=63, _2=55)",-11856033
"Row(_1=63, _2=56)",1923483
"Row(_1=63, _2=57)",-284950
"Row(_1=63, _2=58)",-5880810
"Row(_1=63, _2=59)",-95410
"Row(_1=63, _2=60)",-8779432
"Row(_1=63, _2=61)",2244463
"Row(_1=63, _2=62)",-3049360
"Row(_1=63, _2=63)",-1756877
"Row(_1=63, _2=64)",1682809
"Row(_1=63, _2=65)",2773757
"Row(_1=63, _2=66)",8849542
"Row(_1=63, _2=67)",-4268313
"Row(_1=63, _2=68)",7989433
"Row(_1=63, _2=69)",14261821
"Row(_1=63, _2=70)",11671195
"Row(_1=63, _2=71)",-5370929
"Row(_1=63, _2=72)",1702026
"Row(_1=63, _2=73)",-1765379
"Row(_1=63, _2=74)",-8440451
"Row(_1=63, _2=75)",3729279
"Row(_1=63, _2=76)",-4602745
"Row(_1=63, _2=77)",5912349
"Row(_1=63, _2=78)",-9873930
"Row(_1=63, _2=79)",9236591
"Row(_1=63, _2=80)",12902824
"Row(_1=63, _2=81)",-7666623
"Row(_1=63, _2=82)",5033643
"Row(_1=63, _2=83)",2480427
"Row(_1=63, _2=84)",7213839
"Row(_1=63, _2=85)",26300
"Row(_1=63, _2=86)",-11173509
"Row(_1=63, _2=87)",1396494
"Row(_1=63, _2=88)",7729233
"Row(_1=63, _2=89)",-8068325
"Row(_1=63, _2=90)",-3627613
"Row(_1=63, _2=91)",-3774220
"Row(_1=63, _2=92)",-4922659
"Row(_1=63, _2=93)",4618942
"Row(_1=63, _2=94)",-1361231
"Row(_1=63, _2=95)",-12814263
"Row(_1=63, _2=96)",-3814099
"Row(_1=63, _2=97)",-3662580
"Row(_1=63, _2=98)",7341732
"Row(_1=63, _2=99)",-8409539
"Row(_1=63, _2=100)",6963634
"Row(_1=63, _2=101)",191863
"Row(_1=63, _2=102)",2401135
"Row(_1=63, _2=103)",-1537184
"Row(_1=63, _2=104)",-178933
"Row(_1=63, _2=105)",6599224
"Row(_1=63, _2=106)",284208
"Row(_1=63, _2=107)",610709
"Row(_1=63, _2=108)",4244239
"Row(_1=63, _2=109)",6721813
"Row(_1=63, _2=110)",5893347
"Row(_1=63, _2=111)",-1340548
"Row(_1=63, _2=112)",-218283
"Row(_1=63, _2=113)",5530633
"Row(_1=63, _2=114)",-342504
"Row(_1=63, _2=115)",3937181
"Row(_1=63, _2=116)",5863490
"Row(_1=63, _2=117)",2090442
"Row(_1=63, _2=118)",-418554
"Row(_1=63, _2=119)",-10425321
"Row(_1=63, _2=120)",-1541030
"Row(_1=63, _2=121)",-3716553
"Row(_1=63, _2=122)",1821064
"Row(_1=63, _2=123)",4851278
"Row(_1=63, _2=124)",-2637124
"Row(_1=63, _2=125)",-9170959
"Row(_1=63, _2=126)",-4666525
"Row(_1=63, _2=127)",1045442
"Row(_1=64, _2=0)",1021562
"Row(_1=64, _2=1)",5340020
"Row(_1=64, _2=2)",9921549
"Row(_1=64, _2=3)",-10233250
"Row(_1=64, _2=4)",-1846558
"Row(_1=64, _2=5)",5258133
"Row(_1=64, _2=6)",6243602
"Row(_1=64, _2=7)",5844737
"Row(_1=64, _2=8)",3530908
"Row(_1=64, _2=9)",1842598
"Row(_1=64, _2=10)",-4019238
"Row(_1=64, _2=11)",2047624
"Row(_1=64, _2=12)",3987064
"Row(_1=64, _2=13)",6477
"Row(_1=64, _2=14)",11946800
"Row(_1=64, _2=15)",-10294036
"Row(_1=64, _2=16)",1274531
"Row(_1=64, _2=17)",-6744669
"Row(_1=64, _2=18)",-5322388
"Row(_1=64, _2=19)",-3938086
"Row(_1=64, _2=20)",3323167
"Row(_1=64, _2=21)",4743888
"Row(_1=64, _2=22)",-2563357
"Row(_1=64, _2=23)",6485308
"Row(_1=64, _2=24)",-6841321
"Row(_1=64, _2=25)",10272501
"Row(_1=64, _2=26)",-5941265
"Row(_1=64, _2=27)",-4152337
"Row(_1=64, _2=28)",2508840
"Row(_1=64, _2=29)",10101840
"Row(_1=64, _2=30)",3564496
"Row(_1=64, _2=31)",3403778
"Row(_1=64, _2=32)",-5077715
"Row(_1=64, _2=33)",-10292074
"Row(_1=64, _2=34)",3098144
"Row(_1=64, _2=35)",4148667
"Row(_1=64, _2=36)",-1282000
"Row(_1=64, _2=37)",-3211388
"Row(_1=64, _2=38)",-4367239
"Row(_1=64, _2=39)",-4052551
"Row(_1=64, _2=40)",4663048
"Row(_1=64, _2=41)",-2809133
"Row(_1=64, _2=42)",396405
"Row(_1=64, _2=43)",-3547719
"Row(_1=64, _2=44)",1893715
"Row(_1=64, _2=45)",7452071
"Row(_1=64, _2=46)",-1479748
"Row(_1=64, _2=47)",5230428
"Row(_1=64, _2=48)",-2747551
"Row(_1=64, _2=49)",9911922
"Row(_1=64, _2=50)",6389383
"Row(_1=64, _2=51)",-1895616
"Row(_1=64, _2=52)",-3975377
"Row(_1=64, _2=53)",3862791
"Row(_1=64, _2=54)",3325583
"Row(_1=64, _2=55)",1138982
"Row(_1=64, _2=56)",10882707
"Row(_1=64, _2=57)",11252550
"Row(_1=64, _2=58)",16064986
"Row(_1=64, _2=59)",-2099844
"Row(_1=64, _2=60)",5607514
"Row(_1=64, _2=61)",1042459
"Row(_1=64, _2=62)",5641652
"Row(_1=64, _2=63)",-3186491
"Row(_1=64, _2=64)",-3968988
"Row(_1=64, _2=65)",-1923454
"Row(_1=64, _2=66)",-6203394
"Row(_1=64, _2=67)",6179179
"Row(_1=64, _2=68)",-773550
"Row(_1=64, _2=69)",-2568742
"Row(_1=64, _2=70)",-6250757
"Row(_1=64, _2=71)",-7238138
"Row(_1=64, _2=72)",-2830090
"Row(_1=64, _2=73)",2207683
"Row(_1=64, _2=74)",6117318
"Row(_1=64, _2=75)",3416936
"Row(_1=64, _2=76)",-3194285
"Row(_1=64, _2=77)",-771390
"Row(_1=64, _2=78)",-2883161
"Row(_1=64, _2=79)",-6210868
"Row(_1=64, _2=80)",-5377601
"Row(_1=64, _2=81)",1706384
"Row(_1=64, _2=82)",4325712
"Row(_1=64, _2=83)",14138891
"Row(_1=64, _2=84)",-5939544
"Row(_1=64, _2=85)",-3576982
"Row(_1=64, _2=86)",2206515
"Row(_1=64, _2=87)",3049965
"Row(_1=64, _2=88)",-1103886
"Row(_1=64, _2=89)",424573
"Row(_1=64, _2=90)",-1280701
"Row(_1=64, _2=91)",9523395
"Row(_1=64, _2=92)",759954
"Row(_1=64, _2=93)",-10147519
"Row(_1=64, _2=94)",-2095857
"Row(_1=64, _2=95)",-1239400
"Row(_1=64, _2=96)",-4792746
"Row(_1=64, _2=97)",-2978710
"Row(_1=64, _2=98)",-3462216
"Row(_1=64, _2=99)",-3342615
"Row(_1=64, _2=100)",-8876773
"Row(_1=64, _2=101)",-769138
"Row(_1=64, _2=102)",-818858
"Row(_1=64, _2=103)",9856306
"Row(_1=64, _2=104)",6391685
"Row(_1=64, _2=105)",-7820528
"Row(_1=64, _2=106)",5060461
"Row(_1=64, _2=107)",-5096761
"Row(_1=64, _2=108)",-3031728
"Row(_1=64, _2=109)",4020926
"Row(_1=64, _2=110)",-5553972
"Row(_1=64, _2=111)",-9128080
"Row(_1=64, _2=112)",-1300251
"Row(_1=64, _2=113)",4955979
"Row(_1=64, _2=114)",8770472
"Row(_1=64, _2=115)",3276772
"Row(_1=64, _2=116)",-7746067
"Row(_1=64, _2=117)",-12251327
"Row(_1=64, _2=118)",-9094144
"Row(_1=64, _2=119)",-1137792
"Row(_1=64, _2=120)",1716692
"Row(_1=64, _2=121)",-8365090
"Row(_1=64, _2=122)",4778428
"Row(_1=64, _2=123)",788308
"Row(_1=64, _2=124)",538036
"Row(_1=64, _2=125)",178109
"Row(_1=64, _2=126)",-882313
"Row(_1=64, _2=127)",5810769
"Row(_1=65, _2=0)",-11965996
"Row(_1=65, _2=1)",-11150432
"Row(_1=65, _2=2)",5849190
"Row(_1=65, _2=3)",4532413
"Row(_1=65, _2=4)",-4226502
"Row(_1=65, _2=5)",-3430687
"Row(_1=65, _2=6)",2344261
"Row(_1=65, _2=7)",-5724131
"Row(_1=65, _2=8)",3417729
"Row(_1=65, _2=9)",5656901
"Row(_1=65, _2=10)",6796431
"Row(_1=65, _2=11)",14339757
"Row(_1=65, _2=12)",7251621
"Row(_1=65, _2=13)",3100783
"Row(_1=65, _2=14)",-105342
"Row(_1=65, _2=15)",7235053
"Row(_1=65, _2=16)",2278110
"Row(_1=65, _2=17)",2211733
"Row(_1=65, _2=18)",-92233
"Row(_1=65, _2=19)",4042916
"Row(_1=65, _2=20)",8254776
"Row(_1=65, _2=21)",3034216
"Row(_1=65, _2=22)",-17544536
"Row(_1=65, _2=23)",34592
"Row(_1=65, _2=24)",2297959
"Row(_1=65, _2=25)",-4461108
"Row(_1=65, _2=26)",-1228614
"Row(_1=65, _2=27)",-1727082
"Row(_1=65, _2=28)",-3417342
"Row(_1=65, _2=29)",907037
"Row(_1=65, _2=30)",-439503
"Row(_1=65, _2=31)",-11925710
"Row(_1=65, _2=32)",4360060
"Row(_1=65, _2=33)",870663
"Row(_1=65, _2=34)",2454881
"Row(_1=65, _2=35)",9074332
"Row(_1=65, _2=36)",-4823573
"Row(_1=65, _2=37)",480157
"Row(_1=65, _2=38)",2095676
"Row(_1=65, _2=39)",9148495
"Row(_1=65, _2=40)",-1788818
"Row(_1=65, _2=41)",-296616
"Row(_1=65, _2=42)",-2262199
"Row(_1=65, _2=43)",-7180578
"Row(_1=65, _2=44)",-4939707
"Row(_1=65, _2=45)",2944127
"Row(_1=65, _2=46)",4022193
"Row(_1=65, _2=47)",3822545
"Row(_1=65, _2=48)",-7290571
"Row(_1=65, _2=49)",-812705
"Row(_1=65, _2=50)",6034295
"Row(_1=65, _2=51)",-1110208
"Row(_1=65, _2=52)",419953
"Row(_1=65, _2=53)",4961347
"Row(_1=65, _2=54)",6695535
"Row(_1=65, _2=55)",-4728855
"Row(_1=65, _2=56)",6316202
"Row(_1=65, _2=57)",-5399835
"Row(_1=65, _2=58)",270257
"Row(_1=65, _2=59)",-1912356
"Row(_1=65, _2=60)",-5284615
"Row(_1=65, _2=61)",3917269
"Row(_1=65, _2=62)",1870548
"Row(_1=65, _2=63)",-6888458
"Row(_1=65, _2=64)",-10472611
"Row(_1=65, _2=65)",-970808
"Row(_1=65, _2=66)",2401357
"Row(_1=65, _2=67)",951605
"Row(_1=65, _2=68)",-2644843
"Row(_1=65, _2=69)",-301599
"Row(_1=65, _2=70)",-2621106
"Row(_1=65, _2=71)",2042051
"Row(_1=65, _2=72)",4484280
"Row(_1=65, _2=73)",9012604
"Row(_1=65, _2=74)",1450671
"Row(_1=65, _2=75)",10314589
"Row(_1=65, _2=76)",3042629
"Row(_1=65, _2=77)",5711542
"Row(_1=65, _2=78)",-4863082
"Row(_1=65, _2=79)",-7752068
"Row(_1=65, _2=80)",-2797891
"Row(_1=65, _2=81)",-991309
"Row(_1=65, _2=82)",-2599476
"Row(_1=65, _2=83)",-4325689
"Row(_1=65, _2=84)",-5640506
"Row(_1=65, _2=85)",1792009
"Row(_1=65, _2=86)",6000589
"Row(_1=65, _2=87)",4397753
"Row(_1=65, _2=88)",-3352525
"Row(_1=65, _2=89)",-2656996
"Row(_1=65, _2=90)",-10551341
"Row(_1=65, _2=91)",-14415960
"Row(_1=65, _2=92)",-6208746
"Row(_1=65, _2=93)",-11128901
"Row(_1=65, _2=94)",-165300
"Row(_1=65, _2=95)",-9351420
"Row(_1=65, _2=96)",7836681
"Row(_1=65, _2=97)",-4624381
"Row(_1=65, _2=98)",5152443
"Row(_1=65, _2=99)",2288719
"Row(_1=65, _2=100)",500715
"Row(_1=65, _2=101)",-1316875
"Row(_1=65, _2=102)",-1923964
"Row(_1=65, _2=103)",-1591618
"Row(_1=65, _2=104)",10045504
"Row(_1=65, _2=105)",-3377289
"Row(_1=65, _2=106)",-7581718
"Row(_1=65, _2=107)",-1050205
"Row(_1=65, _2=108)",-766444
"Row(_1=65, _2=109)",2986610
"Row(_1=65, _2=110)",-143439
"Row(_1=65, _2=111)",3305700
"Row(_1=65, _2=112)",-3590324
"Row(_1=65, _2=113)",-2736241
"Row(_1=65, _2=114)",1476578
"Row(_1=65, _2=115)",2901768
"Row(_1=65, _2=116)",10344776
"Row(_1=65, _2=117)",-7522858
"Row(_1=65, _2=118)",-2921914
"Row(_1=65, _2=119)",-3366793
"Row(_1=65, _2=120)",-5564898
"Row(_1=65, _2=121)",2966567
"Row(_1=65, _2=122)",-3686199
"Row(_1=65, _2=123)",-846238
"Row(_1=65, _2=124)",1203244
"Row(_1=65, _2=125)",5179252
"Row(_1=65, _2=126)",6195878
"Row(_1=65, _2=127)",-6221825
"Row(_1=66, _2=0)",-4992701
"Row(_1=66, _2=1)",-4604879
"Row(_1=66, _2=2)",1056273
"Row(_1=66, _2=3)",4970865
"Row(_1=66, _2=4)",-828822
"Row(_1=66, _2=5)",9758742
"Row(_1=66, _2=6)",154476
"Row(_1=66, _2=7)",887809
"Row(_1=66, _2=8)",-2262198
"Row(_1=66, _2=9)",15477840
"Row(_1=66, _2=10)",2952542
"Row(_1=66, _2=11)",1968415
"Row(_1=66, _2=12)",-4412249
"Row(_1=66, _2=13)",7082669
"Row(_1=66, _2=14)",-9746784
"Row(_1=66, _2=15)",1414446
"Row(_1=66, _2=16)",9449197
"Row(_1=66, _2=17)",9151635
"Row(_1=66, _2=18)",-4915570
"Row(_1=66, _2=19)",-207194
"Row(_1=66, _2=20)",-1558664
"Row(_1=66, _2=21)",-1653966
"Row(_1=66, _2=22)",-4016654
"Row(_1=66, _2=23)",-6996679
"Row(_1=66, _2=24)",-4840148
"Row(_1=66, _2=25)",3560754
"Row(_1=66, _2=26)",6932339
"Row(_1=66, _2=27)",12907354
"Row(_1=66, _2=28)",-6424173
"Row(_1=66, _2=29)",4946103
"Row(_1=66, _2=30)",-9028730
"Row(_1=66, _2=31)",2965266
"Row(_1=66, _2=32)",-4062936
"Row(_1=66, _2=33)",-2512326
"Row(_1=66, _2=34)",-6706032
"Row(_1=66, _2=35)",-95425
"Row(_1=66, _2=36)",2821119
"Row(_1=66, _2=37)",1733620
"Row(_1=66, _2=38)",-297843
"Row(_1=66, _2=39)",1038073
"Row(_1=66, _2=40)",-156709
"Row(_1=66, _2=41)",4309401
"Row(_1=66, _2=42)",-1259007
"Row(_1=66, _2=43)",-3687321
"Row(_1=66, _2=44)",3728300
"Row(_1=66, _2=45)",-126692
"Row(_1=66, _2=46)",-1611520
"Row(_1=66, _2=47)",-3522304
"Row(_1=66, _2=48)",10893986
"Row(_1=66, _2=49)",-5054453
"Row(_1=66, _2=50)",13734766
"Row(_1=66, _2=51)",4742875
"Row(_1=66, _2=52)",-2942743
"Row(_1=66, _2=53)",-8175897
"Row(_1=66, _2=54)",6899101
"Row(_1=66, _2=55)",4130203
"Row(_1=66, _2=56)",4045183
"Row(_1=66, _2=57)",8757319
"Row(_1=66, _2=58)",-4090839
"Row(_1=66, _2=59)",6205557
"Row(_1=66, _2=60)",4675573
"Row(_1=66, _2=61)",2335567
"Row(_1=66, _2=62)",-2808249
"Row(_1=66, _2=63)",6406641
"Row(_1=66, _2=64)",-6605005
"Row(_1=66, _2=65)",-1557109
"Row(_1=66, _2=66)",-2891191
"Row(_1=66, _2=67)",-6604945
"Row(_1=66, _2=68)",10753967
"Row(_1=66, _2=69)",8072400
"Row(_1=66, _2=70)",529283
"Row(_1=66, _2=71)",600356
"Row(_1=66, _2=72)",4524203
"Row(_1=66, _2=73)",-130007
"Row(_1=66, _2=74)",-5584151
"Row(_1=66, _2=75)",7414445
"Row(_1=66, _2=76)",5382151
"Row(_1=66, _2=77)",-2181465
"Row(_1=66, _2=78)",2691971
"Row(_1=66, _2=79)",-10639162
"Row(_1=66, _2=80)",-6576373
"Row(_1=66, _2=81)",8497827
"Row(_1=66, _2=82)",-2620718
"Row(_1=66, _2=83)",5008079
"Row(_1=66, _2=84)",-594488
"Row(_1=66, _2=85)",2090901
"Row(_1=66, _2=86)",-853939
"Row(_1=66, _2=87)",-8659519
"Row(_1=66, _2=88)",7209801
"Row(_1=66, _2=89)",-205007
"Row(_1=66, _2=90)",-6771306
"Row(_1=66, _2=91)",518770
"Row(_1=66, _2=92)",-2359281
"Row(_1=66, _2=93)",-6399658
"Row(_1=66, _2=94)",4761428
"Row(_1=66, _2=95)",-994284
"Row(_1=66, _2=96)",6242276
"Row(_1=66, _2=97)",6727332
"Row(_1=66, _2=98)",-145130
"Row(_1=66, _2=99)",-2610153
"Row(_1=66, _2=100)",6329470
"Row(_1=66, _2=101)",-1644323
"Row(_1=66, _2=102)",-7627580
"Row(_1=66, _2=103)",-6573155
"Row(_1=66, _2=104)",8015707
"Row(_1=66, _2=105)",-3688232
"Row(_1=66, _2=106)",-3289402
"Row(_1=66, _2=107)",-7232719
"Row(_1=66, _2=108)",-4834909
"Row(_1=66, _2=109)",-1991920
"Row(_1=66, _2=110)",-3259692
"Row(_1=66, _2=111)",-4091521
"Row(_1=66, _2=112)",8209457
"Row(_1=66, _2=113)",-179604
"Row(_1=66, _2=114)",7299724
"Row(_1=66, _2=115)",-6148977
"Row(_1=66, _2=116)",-8453326
"Row(_1=66, _2=117)",-8073196
"Row(_1=66, _2=118)",5782020
"Row(_1=66, _2=119)",495919
"Row(_1=66, _2=120)",116625
"Row(_1=66, _2=121)",1958115
"Row(_1=66, _2=122)",2630620
"Row(_1=66, _2=123)",2369700
"Row(_1=66, _2=124)",537510
"Row(_1=66, _2=125)",2142327
"Row(_1=66, _2=126)",5070241
"Row(_1=66, _2=127)",4258594
"Row(_1=67, _2=0)",-4781937
"Row(_1=67, _2=1)",8131590
"Row(_1=67, _2=2)",1106454
"Row(_1=67, _2=3)",3708248
"Row(_1=67, _2=4)",1333099
"Row(_1=67, _2=5)",-2288207
"Row(_1=67, _2=6)",-4441921
"Row(_1=67, _2=7)",-6444562
"Row(_1=67, _2=8)",1215881
"Row(_1=67, _2=9)",8007424
"Row(_1=67, _2=10)",-791508
"Row(_1=67, _2=11)",971374
"Row(_1=67, _2=12)",-6600768
"Row(_1=67, _2=13)",-103116
"Row(_1=67, _2=14)",-6068067
"Row(_1=67, _2=15)",263078
"Row(_1=67, _2=16)",-2892185
"Row(_1=67, _2=17)",-2184444
"Row(_1=67, _2=18)",-8890601
"Row(_1=67, _2=19)",9372344
"Row(_1=67, _2=20)",-7103066
"Row(_1=67, _2=21)",644999
"Row(_1=67, _2=22)",-8820468
"Row(_1=67, _2=23)",-5148667
"Row(_1=67, _2=24)",-2725988
"Row(_1=67, _2=25)",-5861269
"Row(_1=67, _2=26)",451083
"Row(_1=67, _2=27)",-7496481
"Row(_1=67, _2=28)",6897490
"Row(_1=67, _2=29)",2697885
"Row(_1=67, _2=30)",1550602
"Row(_1=67, _2=31)",2617393
"Row(_1=67, _2=32)",9269588
"Row(_1=67, _2=33)",-6327367
"Row(_1=67, _2=34)",-444728
"Row(_1=67, _2=35)",6741409
"Row(_1=67, _2=36)",4298583
"Row(_1=67, _2=37)",6993942
"Row(_1=67, _2=38)",5941850
"Row(_1=67, _2=39)",-1951337
"Row(_1=67, _2=40)",5333107
"Row(_1=67, _2=41)",-9007283
"Row(_1=67, _2=42)",5665516
"Row(_1=67, _2=43)",7902285
"Row(_1=67, _2=44)",1217910
"Row(_1=67, _2=45)",9861418
"Row(_1=67, _2=46)",11132877
"Row(_1=67, _2=47)",2819691
"Row(_1=67, _2=48)",3888970
"Row(_1=67, _2=49)",598922
"Row(_1=67, _2=50)",-10262312
"Row(_1=67, _2=51)",3598469
"Row(_1=67, _2=52)",-3440787
"Row(_1=67, _2=53)",4865828
"Row(_1=67, _2=54)",6049478
"Row(_1=67, _2=55)",-8367758
"Row(_1=67, _2=56)",282268
"Row(_1=67, _2=57)",-815891
"Row(_1=67, _2=58)",7595038
"Row(_1=67, _2=59)",-3848719
"Row(_1=67, _2=60)",-8445195
"Row(_1=67, _2=61)",-19079673
"Row(_1=67, _2=62)",-8928278
"Row(_1=67, _2=63)",-3174305
"Row(_1=67, _2=64)",8684612
"Row(_1=67, _2=65)",-323684
"Row(_1=67, _2=66)",-4890361
"Row(_1=67, _2=67)",193535
"Row(_1=67, _2=68)",3850634
"Row(_1=67, _2=69)",3892621
"Row(_1=67, _2=70)",-1413504
"Row(_1=67, _2=71)",-1686443
"Row(_1=67, _2=72)",1527292
"Row(_1=67, _2=73)",-5416845
"Row(_1=67, _2=74)",11034374
"Row(_1=67, _2=75)",-5651225
"Row(_1=67, _2=76)",6146085
"Row(_1=67, _2=77)",-597506
"Row(_1=67, _2=78)",4672805
"Row(_1=67, _2=79)",11095476
"Row(_1=67, _2=80)",-8195883
"Row(_1=67, _2=81)",553112
"Row(_1=67, _2=82)",3028387
"Row(_1=67, _2=83)",-2495748
"Row(_1=67, _2=84)",-11315899
"Row(_1=67, _2=85)",3421498
"Row(_1=67, _2=86)",-3015955
"Row(_1=67, _2=87)",2821477
"Row(_1=67, _2=88)",3170949
"Row(_1=67, _2=89)",-1783905
"Row(_1=67, _2=90)",2479800
"Row(_1=67, _2=91)",-1405815
"Row(_1=67, _2=92)",3728332
"Row(_1=67, _2=93)",5013074
"Row(_1=67, _2=94)",2935255
"Row(_1=67, _2=95)",608833
"Row(_1=67, _2=96)",749223
"Row(_1=67, _2=97)",-216161
"Row(_1=67, _2=98)",-886286
"Row(_1=67, _2=99)",15024676
"Row(_1=67, _2=100)",1114002
"Row(_1=67, _2=101)",10998679
"Row(_1=67, _2=102)",7990165
"Row(_1=67, _2=103)",-2076610
"Row(_1=67, _2=104)",-5772335
"Row(_1=67, _2=105)",1752105
"Row(_1=67, _2=106)",888819
"Row(_1=67, _2=107)",-420214
"Row(_1=67, _2=108)",-13756781
"Row(_1=67, _2=109)",8836398
"Row(_1=67, _2=110)",2851070
"Row(_1=67, _2=111)",5038375
"Row(_1=67, _2=112)",3245215
"Row(_1=67, _2=113)",9774027
"Row(_1=67, _2=114)",-1211073
"Row(_1=67, _2=115)",13165911
"Row(_1=67, _2=116)",3885339
"Row(_1=67, _2=117)",3049402
"Row(_1=67, _2=118)",-7742556
"Row(_1=67, _2=119)",142940
"Row(_1=67, _2=120)",4116401
"Row(_1=67, _2=121)",-7425709
"Row(_1=67, _2=122)",2782781
"Row(_1=67, _2=123)",1083671
"Row(_1=67, _2=124)",-2560663
"Row(_1=67, _2=125)",3028514
"Row(_1=67, _2=126)",3867005
"Row(_1=67, _2=127)",-1417940
"Row(_1=68, _2=0)",1849254
"Row(_1=68, _2=1)",-3892389
"Row(_1=68, _2=2)",-2096985
"Row(_1=68, _2=3)",-3727695
"Row(_1=68, _2=4)",-2545974
"Row(_1=68, _2=5)",-3289196
"Row(_1=68, _2=6)",-1772392
"Row(_1=68, _2=7)",4095409
"Row(_1=68, _2=8)",665962
"Row(_1=68, _2=9)",1958242
"Row(_1=68, _2=10)",3512966
"Row(_1=68, _2=11)",-311068
"Row(_1=68, _2=12)",448050
"Row(_1=68, _2=13)",-11391520
"Row(_1=68, _2=14)",1687868
"Row(_1=68, _2=15)",4893717
"Row(_1=68, _2=16)",-250799
"Row(_1=68, _2=17)",10963202
"Row(_1=68, _2=18)",45115
"Row(_1=68, _2=19)",6408700
"Row(_1=68, _2=20)",-8042353
"Row(_1=68, _2=21)",2624823
"Row(_1=68, _2=22)",7075799
"Row(_1=68, _2=23)",-5970438
"Row(_1=68, _2=24)",3954672
